trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,0.625,1.8333333333333333,3.0,4.0,3.0,2,0.9999989622890604
1.25,0.0,0.1666666666666666,0.3333333333333333,0.0,1.2,1.0,0.3333333333333333,1.625,2.0,3.6666666666666665,2.0,1.3333333333333333,4,0.9989401759845442
1.7142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.0,1.8,0.0,1.0,0.375,2.6666666666666665,2.3333333333333335,0.5,1.6666666666666667,4,0.9995658831764073
1.5,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.25,1.5,2.2,3.0,3.0,2,0.9999998652132256
1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,1.0,1.625,3.1666666666666665,2.8,4.0,3.3333333333333335,2,0.9999962296625134
1.0,0.3333333333333333,0.0,1.3333333333333333,0.0,1.8333333333333333,0.5,1.3333333333333333,0.0,1.1666666666666667,1.8333333333333333,2.3333333333333335,1.0,1,0.5802008594511554
1.875,1.0,0.0,1.0,2.75,1.6666666666666667,0.0,2.6666666666666665,0.4,3.2,3.5,3.5,1.6666666666666667,1,0.9983990132259751
1.5,1.8333333333333333,0.0,3.0,2.5,0.6,4.0,1.5,0.125,1.6666666666666667,2.0,3.0,2.0,1,0.9991706278526677
2.0,0.1666666666666666,0.0,1.6666666666666667,0.0,1.3333333333333333,0.0,0.0,0.5714285714285714,1.1666666666666667,1.1666666666666667,0.0,1.3333333333333333,4,0.7148263721127681
1.75,0.0,0.3333333333333333,2.0,1.25,2.0,3.5,0.3333333333333333,0.5,0.8333333333333334,1.5,4.0,0.6666666666666666,0,0.9998319305740503
1.0,0.3333333333333333,0.0,2.0,2.5,1.8333333333333333,2.0,0.0,1.6,2.6666666666666665,3.3333333333333335,3.6666666666666665,1.3333333333333333,1,0.9992841490565203
1.5,0.0,0.0,1.3333333333333333,0.0,0.5,1.0,0.6666666666666666,0.125,3.0,2.0,2.5,3.0,2,0.9999995705439869
2.142857142857143,0.0,0.0,3.0,0.0,0.8333333333333334,0.0,0.0,0.8571428571428571,2.8,1.8333333333333333,0.6666666666666666,1.0,2,0.9999964191188315
1.625,0.0,0.0,2.3333333333333335,0.0,0.3333333333333333,0.0,2.0,0.0,2.5,3.0,3.0,1.0,2,0.9999977296739945
0.875,0.3333333333333333,0.0,3.6666666666666665,0.5,1.6666666666666667,4.0,0.0,0.0,2.5,2.3333333333333335,1.5,2.0,1,0.9997700615617442
1.625,2.1666666666666665,0.0,3.6666666666666665,3.0,2.0,1.5,0.5,1.25,1.8333333333333333,2.6666666666666665,4.0,1.6666666666666667,1,0.9883556415589143
